

NRC Optimism--Pessimism Association Lexicon
(OPAL)
Version 0.1
1 June 2013
Copyright (C) 2011 National Research Council Canada (NRC)
Contact: Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

1. This copy of the NRC Optimism--Pessimism Association Lexicon is to
be used for research purposes only.  Please contact NRC if interested 
in a commercial license.

2. Do not redistribute the NRC Emotion Lexicon. Please refer
interested parties to Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca).

.......................................................................

OPAL
----
The OPAL is a list of terms and their associations with optimism and pessimism. 
The lexicon was created automatically from about 140,000 tweets that had
at least one of the following hashtags: #optimism, #optimistic, #pessimism,
and #pessimistic. It may be noted that close to 120,000 tweets pertained
to optimism and only 20,000 pertained to pessimism.

Positive scores indicate association with optimism, whereas negative scores
indicate association with pessimism. The terms with scores close to 0
(on either side) are realtively weak indicators of optimism--pessimism
and can be ignored in certain applications.

.......................................................................

The list below is for bigrams.

bigram	score	NumberOfTimesCooccuredWithOptimism	NumberOfTimesCooccuredWithPessimism
positive people	2.71	16	0
lets get	2.71	16	0
loving the	2.71	16	0
with what	2.71	16	0
goodnight world	2.71	16	0
place ,	2.71	16	0
it next	2.71	16	0
to better	2.71	16	0
so can	2.71	16	0
knowing i	2.71	16	0
quid on	2.71	16	0
morning with	2.71	16	0
sure we	2.71	16	0
people you	2.71	16	0
know about	2.71	16	0
call .	2.71	16	0
together and	2.71	16	0
guess you	2.71	16	0
blessed to	2.71	16	0
guess the	2.71	16	0
things just	2.71	16	0
you learn	2.71	16	0
can beat	2.71	16	0
win 2	2.71	16	0
to dance	2.71	16	0
#glasshalffull #optimistic	2.71	16	0
thankful that	2.71	16	0
things ahead	2.71	16	0
him #optimistic	2.71	16	0
actually excited	2.71	16	0
over #optimism	2.71	16	0
your eyes	2.71	16	0
morning i	2.71	16	0
bad start	2.71	16	0
who needs	2.71	16	0
good side	2.71	16	0
is hard	2.71	16	0
past is	2.71	16	0
lose hope	2.71	16	0
out tonight	2.71	16	0
are people	2.71	16	0
today -	2.71	16	0
down today	2.71	16	0
to friday	2.71	16	0
ahead #optimistic	2.71	16	0
after today	2.71	16	0
chance ,	2.71	16	0
today might	2.71	16	0
points off	2.71	16	0
things may	2.71	16	0
off this	2.71	16	0
being negative	2.71	16	0
roll on	2.71	16	0
good so	2.71	16	0
saying that	2.71	16	0
play for	2.71	16	0
mind #optimistic	2.71	16	0
that no	2.71	16	0
forward #optimistic	2.71	16	0
us ,	2.71	16	0
alive and	2.71	16	0
11 .	2.71	16	0
ha #optimistic	2.71	16	0
the guy	2.71	16	0
new semester	2.71	16	0
way things	2.71	16	0
got out	2.71	16	0
to join	2.71	16	0
is !	2.71	16	0
least tomorrow	2.71	16	0
the hard	2.71	16	0
almost done	2.71	16	0
home #optimistic	2.71	16	0
looks good	2.71	16	0
to attempt	2.71	16	0
who has	2.71	16	0
not only	2.71	16	0
start on	2.71	16	0
slowly but	2.71	16	0
in town	2.71	16	0
hit rock	2.646	15	0
#optimism #love	2.646	15	0
reckon i	2.646	15	0
to accept	2.646	15	0
or later	2.646	15	0
behind .	2.646	15	0
everything you	2.646	15	0
starting my	2.646	15	0
at 9	2.646	15	0
story .	2.646	15	0
well atleast	2.646	15	0
change !	2.646	15	0
school in	2.646	15	0
fine #optimistic	2.646	15	0
night :	2.646	15	0
for college	2.646	15	0
new .	2.646	15	0
#hopefully #optimistic	2.646	15	0
the flu	2.646	15	0
hopefully that	2.646	15	0
else will	2.646	15	0
of any	2.646	15	0
always work	2.646	15	0
every difficulty	2.646	15	0
finally get	2.646	15	0
still #optimistic	2.646	15	0
my goals	2.646	15	0
decided i	2.646	15	0
#optimism #smile	2.646	15	0
awhile .	2.646	15	0
means there	2.646	15	0
stress .	2.646	15	0
soon :	2.646	15	0
exam ,	2.646	15	0
its ok	2.646	15	0
day was	2.646	15	0
weekend to	2.646	15	0
keep going	2.646	15	0
day around	2.646	15	0
given me	2.646	15	0
tuesday !	2.646	15	0
already #optimistic	2.646	15	0
to catch	2.646	15	0
fun ,	2.646	15	0
one less	2.646	15	0
my feet	2.646	15	0
spend my	2.646	15	0
job at	2.646	15	0
step back	2.646	15	0
can rejoice	2.646	15	0
alright #optimistic	2.646	15	0
already got	2.646	15	0
can finally	2.646	15	0
great and	2.646	15	0
last #optimistic	2.646	15	0
same ,	2.646	15	0
day no	2.646	15	0
coming in	2.646	15	0
my attitude	2.646	15	0
my name	2.646	15	0
in other	2.646	15	0
something amazing	2.646	15	0
be me	2.646	15	0
dinner .	2.646	15	0
my knee	2.646	15	0
not forever	2.646	15	0
last tweet	2.646	15	0
lemons ,	2.646	15	0
go but	2.646	15	0
games left	2.646	15	0
by this	2.646	15	0
where my	2.646	15	0
feeling really	2.646	15	0
heard it	2.646	15	0
#happiness #optimism	2.646	15	0
this snow	2.646	15	0
have and	2.646	15	0
the stress	2.646	15	0
new outlook	2.646	15	0
sun .	2.646	15	0
what life	2.646	15	0
changing my	2.646	15	0
buy me	2.646	15	0
successful .	2.646	15	0
#optimistic #goodnight	2.646	15	0
#ambitious #optimistic	2.646	15	0
with his	2.646	15	0
#optimism #passiton	2.646	15	0
put your	2.646	15	0
every opportunity	2.646	15	0
its so	2.646	15	0
it worse	2.646	15	0
lining .	2.646	15	0
sunglasses #optimistic	2.646	15	0
is hope	2.646	15	0
money !	2.646	15	0
new phone	2.646	15	0
left #optimism	2.646	15	0
amazing how	2.646	15	0
my driving	2.646	15	0
looking like	2.646	15	0
more years	2.646	15	0
#perspective #optimism	2.646	15	0
granted .	2.646	15	0
first #optimistic	2.646	15	0
there #optimism	2.646	15	0
been to	2.646	15	0
has it	2.646	15	0
it like	2.646	15	0
or we	2.646	15	0
some great	2.646	15	0
late for	2.646	15	0
#hopeful #optimism	2.646	15	0
takes me	2.646	15	0
was fun	2.646	15	0
ive been	2.646	15	0
this #optimism	2.646	15	0
was #optimistic	2.646	15	0
shorts #optimistic	2.646	15	0
sleeping in	2.646	15	0
friday #optimism	2.646	15	0
great #optimism	2.646	15	0
done by	2.646	15	0
my sunglasses	2.646	15	0
can and	2.646	15	0
shower ,	2.646	15	0
stop worrying	2.646	15	0
pre -	2.646	15	0
what an	2.646	15	0
me &amp	2.646	15	0
but life	2.646	15	0
always see	2.646	15	0
of college	2.646	15	0
place !	2.646	15	0
bed at	2.646	15	0
alive #optimistic	2.646	15	0
sunny day	2.646	15	0
out at	2.646	15	0
just look	2.646	15	0
weather !	2.646	15	0
thing you	2.646	15	0
school starts	2.646	15	0
once again	2.646	15	0
and believe	2.646	15	0
hahaha #optimism	2.646	15	0
but hey	2.596	158	1
read the	2.577	14	0
night but	2.577	14	0
happen this	2.577	14	0
only up	2.577	14	0
am #optimistic	2.577	14	0
at times	2.577	14	0
to next	2.577	14	0
content with	2.577	14	0
week but	2.577	14	0
from today	2.577	14	0
good this	2.577	14	0
hope she	2.577	14	0
#optimistic #positivethinking	2.577	14	0
enough ,	2.577	14	0
times a	2.577	14	0
happy is	2.577	14	0
return to	2.577	14	0
future and	2.577	14	0
stop me	2.577	14	0
junior year	2.577	14	0
you aren	2.577	14	0
problems .	2.577	14	0
#goals #optimism	2.577	14	0
please let	2.577	14	0
idea what	2.577	14	0
gotta look	2.577	14	0
start and	2.577	14	0
minutes of	2.577	14	0
and family	2.577	14	0
money #optimistic	2.577	14	0
later !	2.577	14	0
#optimistic #notreally	2.577	14	0
excited and	2.577	14	0
great feeling	2.577	14	0
one hell	2.577	14	0
week for	2.577	14	0
go see	2.577	14	0
nhl season	2.577	14	0
my hands	2.577	14	0
#optimistic #confident	2.577	14	0
know god	2.577	14	0
than half	2.577	14	0
day started	2.577	14	0
but instead	2.577	14	0
hope 2013	2.577	14	0
may seem	2.577	14	0
number of	2.577	14	0
longer than	2.577	14	0
dont worry	2.577	14	0
new perspective	2.577	14	0
success !	2.577	14	0
holds .	2.577	14	0
will stop	2.577	14	0
down a	2.577	14	0
figure it	2.577	14	0
but look	2.577	14	0
no work	2.577	14	0
we must	2.577	14	0
right #optimism	2.577	14	0
my career	2.577	14	0
some ,	2.577	14	0
attitude #optimistic	2.577	14	0
hands .	2.577	14	0
in so	2.577	14	0
side !	2.577	14	0
live life	2.577	14	0
rough start	2.577	14	0
definitely a	2.577	14	0
#optimism #motivation	2.577	14	0
smile !	2.577	14	0
found my	2.577	14	0
#stayingpositive #optimistic	2.577	14	0
get rid	2.577	14	0
the ice	2.577	14	0
this night	2.577	14	0
keep on	2.577	14	0
weather #optimistic	2.577	14	0
the horizon	2.577	14	0
all around	2.577	14	0
be afraid	2.577	14	0
happy in	2.577	14	0
the race	2.577	14	0
though the	2.577	14	0
outcome .	2.577	14	0
okay #optimistic	2.577	14	0
with us	2.577	14	0
already been	2.577	14	0
gym .	2.577	14	0
here #optimism	2.577	14	0
my self	2.577	14	0
get these	2.577	14	0
get used	2.577	14	0
can keep	2.577	14	0
hopefully get	2.577	14	0
on wednesday	2.577	14	0
start thinking	2.577	14	0
happy monday	2.577	14	0
runs out	2.577	14	0
hopefully all	2.577	14	0
around #optimism	2.577	14	0
better i	2.577	14	0
on christmas	2.577	14	0
just happy	2.577	14	0
hopefully !	2.577	14	0
week so	2.577	14	0
that #optimism	2.577	14	0
suppose it	2.577	14	0
bring in	2.577	14	0
like tomorrow	2.577	14	0
the month	2.577	14	0
still win	2.577	14	0
the book	2.577	14	0
interview .	2.577	14	0
forward for	2.577	14	0
live and	2.577	14	0
attitude !	2.577	14	0
top 10	2.577	14	0
won .	2.577	14	0
other things	2.577	14	0
has ever	2.577	14	0
#believe #optimistic	2.577	14	0
me right	2.577	14	0
its better	2.577	14	0
whatever it	2.577	14	0
how far	2.577	14	0
looking to	2.577	14	0
be super	2.577	14	0
reason for	2.577	14	0
my boy	2.577	14	0
be glad	2.577	14	0
way :	2.577	14	0
today shall	2.577	14	0
let anything	2.577	14	0
holiday .	2.577	14	0
to normal	2.577	14	0
day may	2.577	14	0
city and	2.577	14	0
season #optimism	2.577	14	0
so thankful	2.577	14	0
win 4	2.577	14	0
work day	2.577	14	0
where they	2.577	14	0
my test	2.577	14	0
of studying	2.577	14	0
future looks	2.577	14	0
finally starting	2.577	14	0
life could	2.577	14	0
goes #optimistic	2.577	14	0
can handle	2.577	14	0
all get	2.577	14	0
wonderful .	2.577	14	0
to hang	2.577	14	0
said so	2.577	14	0
rough ,	2.577	14	0
night out	2.577	14	0
where this	2.577	14	0
night to	2.577	14	0
that as	2.577	14	0
wearing a	2.577	14	0
okay i	2.577	14	0
ahead ,	2.577	14	0
along the	2.577	14	0
spring is	2.577	14	0
starts in	2.577	14	0
still happy	2.577	14	0
theres always	2.577	14	0
by 10	2.577	14	0
bright #optimistic	2.577	14	0
hours until	2.577	14	0
ll start	2.577	14	0
#optimistic #cantwait	2.577	14	0
school #optimism	2.577	14	0
this as	2.577	14	0
last season	2.577	14	0
morning #optimism	2.577	14	0
hey it	2.577	14	0
hours #optimistic	2.577	14	0
before work	2.577	14	0
taught me	2.577	14	0
the mind	2.577	14	0
other hand	2.577	14	0
here '	2.538	149	1
than not	2.504	13	0
todays gonna	2.504	13	0
the pieces	2.504	13	0
take on	2.504	13	0
my finals	2.504	13	0
got up	2.504	13	0
could say	2.504	13	0
pretty excited	2.504	13	0
my friday	2.504	13	0
up by	2.504	13	0
practice .	2.504	13	0
broke my	2.504	13	0
thorns have	2.504	13	0
grass is	2.504	13	0
knows ?	2.504	13	0
like how	2.504	13	0
ok #optimistic	2.504	13	0
let your	2.504	13	0
feels so	2.504	13	0
sooner or	2.504	13	0
big changes	2.504	13	0
would '	2.504	13	0
row .	2.504	13	0
to fill	2.504	13	0
do work	2.504	13	0
im in	2.504	13	0
glad we	2.504	13	0
than we	2.504	13	0
best and	2.504	13	0
break ,	2.504	13	0
#future #optimistic	2.504	13	0
winning streak	2.504	13	0
its hard	2.504	13	0
lovely day	2.504	13	0
work tonight	2.504	13	0
you :	2.504	13	0
he doesn	2.504	13	0
the change	2.504	13	0
right track	2.504	13	0
very true	2.504	13	0
revision #optimistic	2.504	13	0
everyone in	2.504	13	0
will rise	2.504	13	0
#optimism #sarcasm	2.504	13	0
without the	2.504	13	0
to build	2.504	13	0
#truth #optimistic	2.504	13	0
thought #optimistic	2.504	13	0
bottom ,	2.504	13	0
the christmas	2.504	13	0
being sad	2.504	13	0
do me	2.504	13	0
morning so	2.504	13	0
that people	2.504	13	0
six pack	2.504	13	0
gotta take	2.504	13	0
my bag	2.504	13	0
my interview	2.504	13	0
#grateful #optimistic	2.504	13	0
sleep with	2.504	13	0
and who	2.504	13	0
weeks and	2.504	13	0
keep this	2.504	13	0
lost a	2.504	13	0
opens .	2.504	13	0
will meet	2.504	13	0
needed .	2.504	13	0
hard enough	2.504	13	0
positives in	2.504	13	0
again i	2.504	13	0
glad it	2.504	13	0
happy thoughts	2.504	13	0
forward and	2.504	13	0
say no	2.504	13	0
nice #optimistic	2.504	13	0
again ?	2.504	13	0
shit #optimism	2.504	13	0
the loss	2.504	13	0
my ipod	2.504	13	0
stay strong	2.504	13	0
am excited	2.504	13	0
hard as	2.504	13	0
getting back	2.504	13	0
hours sleep	2.504	13	0
can work	2.504	13	0
us #optimistic	2.504	13	0
the mighty	2.504	13	0
gotta have	2.504	13	0
half over	2.504	13	0
help us	2.504	13	0
pan out	2.504	13	0
last semester	2.504	13	0
are very	2.504	13	0
empty #optimism	2.504	13	0
lottery ticket	2.504	13	0
easier to	2.504	13	0
new car	2.504	13	0
new season	2.504	13	0
past #optimistic	2.504	13	0
you more	2.504	13	0
finally ,	2.504	13	0
all weekend	2.504	13	0
ask for	2.504	13	0
harder than	2.504	13	0
itll be	2.504	13	0
the packers	2.504	13	0
forget all	2.504	13	0
atleast my	2.504	13	0
im feeling	2.504	13	0
so nice	2.504	13	0
the struggle	2.504	13	0
done a	2.504	13	0
my problems	2.504	13	0
at 4	2.504	13	0
turn a	2.504	13	0
roses have	2.504	13	0
the heat	2.504	13	0
my money	2.504	13	0
first and	2.504	13	0
#productivity #itstheweekend	2.504	13	0
friends to	2.504	13	0
is bright	2.504	13	0
exam and	2.504	13	0
someday .	2.504	13	0
control of	2.504	13	0
break #optimistic	2.504	13	0
hopes that	2.504	13	0
bad night	2.504	13	0
problem ,	2.504	13	0
weekend ?	2.504	13	0
week goes	2.504	13	0
be finished	2.504	13	0
blessing in	2.504	13	0
class #optimistic	2.504	13	0
even with	2.504	13	0
though my	2.504	13	0
so blessed	2.504	13	0
smile :	2.504	13	0
considering i	2.504	13	0
hoping everything	2.504	13	0
every new	2.504	13	0
to hopefully	2.504	13	0
and pray	2.504	13	0
but god	2.504	13	0
did last	2.504	13	0
crossed that	2.504	13	0
classes ,	2.504	13	0
do great	2.504	13	0
wearing my	2.504	13	0
sun and	2.504	13	0
early !	2.504	13	0
finals !	2.504	13	0
gone ,	2.504	13	0
#love #optimism	2.504	13	0
change it	2.504	13	0
side you	2.504	13	0
okay with	2.504	13	0
things going	2.504	13	0
hoping we	2.504	13	0
bus .	2.504	13	0
re feeling	2.504	13	0
come ,	2.504	13	0
to fly	2.504	13	0
of his	2.504	13	0
pass my	2.504	13	0
#optimistic #thankful	2.504	13	0
an awful	2.504	13	0
#staypositive #optimism	2.504	13	0
this evening	2.504	13	0
#optimistic #positivity	2.504	13	0
you smile	2.504	13	0
check .	2.504	13	0
can at	2.504	13	0
last exam	2.504	13	0
had one	2.504	13	0
of positive	2.504	13	0
its good	2.504	13	0
soon #optimism	2.504	13	0
#wishfulthinking #optimism	2.504	13	0
think if	2.504	13	0
an entire	2.504	13	0
all week	2.504	13	0
always remember	2.504	13	0
storm runs	2.504	13	0
greener on	2.504	13	0
on myself	2.504	13	0
for dinner	2.504	13	0
your body	2.504	13	0
out so	2.504	13	0
always feel	2.504	13	0
of half	2.504	13	0
having an	2.504	13	0
days ahead	2.504	13	0
least expect	2.504	13	0
goals for	2.504	13	0
getting an	2.504	13	0
day ill	2.504	13	0
notre dame	2.504	13	0
god knows	2.504	13	0
happen again	2.504	13	0
good game	2.504	13	0
being on	2.504	13	0
goal :	2.504	13	0
#optimistic #cfc	2.504	13	0
present .	2.504	13	0
going #optimistic	2.504	13	0
and come	2.504	13	0
it yet	2.504	13	0
most out	2.504	13	0
positive life	2.504	13	0
day my	2.504	13	0
least you	2.454	137	1
worth it	2.447	136	1
the strength	2.424	12	0
thursday #optimistic	2.424	12	0
to visit	2.424	12	0
positives .	2.424	12	0
new ones	2.424	12	0
is impossible	2.424	12	0
#optimistic #thinkpositive	2.424	12	0
with #optimistic	2.424	12	0
pretty shitty	2.424	12	0
things with	2.424	12	0
out :	2.424	12	0
haha but	2.424	12	0
them up	2.424	12	0
fuck yeah	2.424	12	0
head high	2.424	12	0
goals and	2.424	12	0
today started	2.424	12	0
hard times	2.424	12	0
an open	2.424	12	0
weekend in	2.424	12	0
with every	2.424	12	0
chelsea .	2.424	12	0
does happen	2.424	12	0
making money	2.424	12	0
how today	2.424	12	0
see an	2.424	12	0
hair is	2.424	12	0
#confident #optimistic	2.424	12	0
ve heard	2.424	12	0
today goes	2.424	12	0
my grade	2.424	12	0
comes on	2.424	12	0
pain ,	2.424	12	0
night #optimism	2.424	12	0
work week	2.424	12	0
back together	2.424	12	0
coming !	2.424	12	0
#optimistic #not	2.424	12	0
knows ,	2.424	12	0
is key	2.424	12	0
never stop	2.424	12	0
still had	2.424	12	0
let things	2.424	12	0
some positive	2.424	12	0
am now	2.424	12	0
united to	2.424	12	0
school to	2.424	12	0
hour shift	2.424	12	0
end it	2.424	12	0
wrong !	2.424	12	0
love #optimistic	2.424	12	0
cup half	2.424	12	0
remember .	2.424	12	0
job is	2.424	12	0
summer ,	2.424	12	0
shine .	2.424	12	0
will try	2.424	12	0
of #optimism	2.424	12	0
but nothing	2.424	12	0
then get	2.424	12	0
break #optimism	2.424	12	0
theres a	2.424	12	0
for friday	2.424	12	0
fall ,	2.424	12	0
air .	2.424	12	0
the mistakes	2.424	12	0
gonna give	2.424	12	0
open up	2.424	12	0
maybe its	2.424	12	0
the small	2.424	12	0
that every	2.424	12	0
learned to	2.424	12	0
finding a	2.424	12	0
game i	2.424	12	0
can it	2.424	12	0
than just	2.424	12	0
sky !	2.424	12	0
staying #optimistic	2.424	12	0
than nothing	2.424	12	0
productive !	2.424	12	0
re happy	2.424	12	0
ll turn	2.424	12	0
win against	2.424	12	0
feeling down	2.424	12	0
summer has	2.424	12	0
weeks #optimistic	2.424	12	0
bed early	2.424	12	0
thursday ,	2.424	12	0
tough ,	2.424	12	0
one opens	2.424	12	0
that mean	2.424	12	0
up high	2.424	12	0
myself !	2.424	12	0
up side	2.424	12	0
let one	2.424	12	0
it my	2.424	12	0
happiness in	2.424	12	0
monday #optimistic	2.424	12	0
holds for	2.424	12	0
days will	2.424	12	0
think #optimistic	2.424	12	0
yesterday '	2.424	12	0
mom '	2.424	12	0
key to	2.424	12	0
out as	2.424	12	0
earlier .	2.424	12	0
hell ,	2.424	12	0
smile #optimism	2.424	12	0
my plan	2.424	12	0
faith and	2.424	12	0
it ;	2.424	12	0
#optimistic #goodvibes	2.424	12	0
one night	2.424	12	0
to ride	2.424	12	0
times #optimistic	2.424	12	0
can live	2.424	12	0
reach my	2.424	12	0
in god	2.424	12	0
with how	2.424	12	0
attitude ,	2.424	12	0
day ;	2.424	12	0
person ,	2.424	12	0
of months	2.424	12	0
am thankful	2.424	12	0
since my	2.424	12	0
and beat	2.424	12	0
fail #optimistic	2.424	12	0
fight for	2.424	12	0
past the	2.424	12	0
day because	2.424	12	0
buzzing for	2.424	12	0
week left	2.424	12	0
the shorts	2.424	12	0
be mad	2.424	12	0
side we	2.424	12	0
hopefully some	2.424	12	0
what god	2.424	12	0
my college	2.424	12	0
after .	2.424	12	0
until christmas	2.424	12	0
just maybe	2.424	12	0
sleep is	2.424	12	0
so proud	2.424	12	0
thursday !	2.424	12	0
than later	2.424	12	0
its worth	2.424	12	0
will #optimism	2.424	12	0
about #optimistic	2.424	12	0
nights sleep	2.424	12	0
have now	2.424	12	0
more productive	2.424	12	0
one with	2.424	12	0
and early	2.424	12	0
friday i	2.424	12	0
your last	2.424	12	0
stress free	2.424	12	0
half #optimistic	2.424	12	0
this past	2.424	12	0
that made	2.424	12	0
are !	2.424	12	0
be having	2.424	12	0
no !	2.424	12	0
been given	2.424	12	0
up but	2.424	12	0
but only	2.424	12	0
guess #optimism	2.424	12	0
off #optimism	2.424	12	0
through !	2.424	12	0
been such	2.424	12	0
league next	2.424	12	0
bounce back	2.424	12	0
#content #optimistic	2.424	12	0
remind myself	2.424	12	0
one positive	2.424	12	0
pass #optimistic	2.424	12	0
go is	2.424	12	0
hopefully #optimistic	2.424	12	0
awesome #optimistic	2.424	12	0
least im	2.424	12	0
from me	2.424	12	0
walk into	2.424	12	0
and life	2.424	12	0
us and	2.424	12	0
christmas present	2.424	12	0
be playing	2.424	12	0
will shine	2.424	12	0
head #optimistic	2.424	12	0
reach the	2.424	12	0
my paper	2.424	12	0
know #optimistic	2.424	12	0
time the	2.424	12	0
half day	2.424	12	0
are my	2.424	12	0
12 :	2.424	12	0
one that	2.424	12	0
gonna keep	2.424	12	0
it more	2.424	12	0
aim to	2.424	12	0
just what	2.424	12	0
news #optimistic	2.424	12	0
more money	2.424	12	0
#optimistic #feelinggood	2.424	12	0
since the	2.424	12	0
homework !	2.424	12	0
possible #optimistic	2.424	12	0
enough of	2.424	12	0
hahaha !	2.424	12	0
him for	2.424	12	0
#quotes #optimism	2.424	12	0
chance at	2.424	12	0
getting it	2.424	12	0
hopefully be	2.424	12	0
pays off	2.424	12	0
actually think	2.424	12	0
the ability	2.424	12	0
semester of	2.424	12	0
job #optimistic	2.424	12	0
starts tomorrow	2.424	12	0
get lucky	2.424	12	0
coming ,	2.424	12	0
have happened	2.424	12	0
the division	2.424	12	0
during my	2.424	12	0
girl is	2.424	12	0
someday ,	2.424	12	0
been doing	2.424	12	0
different #optimistic	2.424	12	0
sleep now	2.424	12	0
check my	2.424	12	0
merry christmas	2.424	12	0
store #optimistic	2.424	12	0
brings #optimistic	2.424	12	0
in hand	2.424	12	0
of last	2.424	12	0
so bright	2.424	12	0
alive ,	2.424	12	0
hopefully will	2.424	12	0
and focus	2.424	12	0
months to	2.424	12	0
my boss	2.424	12	0
to in	2.424	12	0
it get	2.424	12	0
she can	2.424	12	0
improvement .	2.424	12	0
break the	2.424	12	0
upset about	2.424	12	0
months of	2.424	12	0
not okay	2.424	12	0
nothing wrong	2.424	12	0
point #optimistic	2.424	12	0
to laugh	2.424	12	0
getting some	2.424	12	0
blue skies	2.424	12	0
bed !	2.424	12	0
gonna look	2.424	12	0
have come	2.424	12	0
see !	2.424	12	0
about hitting	2.424	12	0
shitty week	2.424	12	0
feeling great	2.424	12	0
bring the	2.424	12	0
only make	2.424	12	0
positive vibes	2.424	12	0
in shorts	2.424	12	0
day then	2.424	12	0
come #optimism	2.424	12	0
trying .	2.424	12	0
to something	2.424	12	0
over this	2.424	12	0
anything in	2.424	12	0
wrong &amp	2.424	12	0
realize you	2.424	12	0
there ?	2.424	12	0
like crap	2.424	12	0
even on	2.424	12	0
#goodmood #optimistic	2.424	12	0
better this	2.424	12	0
friends !	2.424	12	0
family !	2.424	12	0
rough week	2.424	12	0
will play	2.424	12	0
on one	2.424	12	0
to gain	2.424	12	0
games and	2.424	12	0
turned into	2.424	12	0
least i	2.375	472	4
good of	2.338	11	0
ever ,	2.338	11	0
well #optimism	2.338	11	0
hour delay	2.338	11	0
did get	2.338	11	0
else to	2.338	11	0
change and	2.338	11	0
be upset	2.338	11	0
with her	2.338	11	0
love this	2.338	11	0
hopefully everything	2.338	11	0
im getting	2.338	11	0
pre season	2.338	11	0
#happy #optimism	2.338	11	0
exactly the	2.338	11	0
hope #optimism	2.338	11	0
month !	2.338	11	0
both teams	2.338	11	0
rain will	2.338	11	0
run to	2.338	11	0
coffee and	2.338	11	0
the up	2.338	11	0
you let	2.338	11	0
every negative	2.338	11	0
might go	2.338	11	0
best mood	2.338	11	0
with positive	2.338	11	0
today (	2.338	11	0
proud to	2.338	11	0
free !	2.338	11	0
girl !	2.338	11	0
#faith #hope	2.338	11	0
works !	2.338	11	0
just for	2.338	11	0
control .	2.338	11	0
bring a	2.338	11	0
aiming to	2.338	11	0
you change	2.338	11	0
hate .	2.338	11	0
bit more	2.338	11	0
dont be	2.338	11	0
still better	2.338	11	0
depending on	2.338	11	0
an ugly	2.338	11	0
#optimistic #lifeisgood	2.338	11	0
#optimistic #praying	2.338	11	0
to shine	2.338	11	0
and become	2.338	11	0
had it	2.338	11	0
and productive	2.338	11	0
the garden	2.338	11	0
pick me	2.338	11	0
the coming	2.338	11	0
but smile	2.338	11	0
friday night	2.338	11	0
to teach	2.338	11	0
interview today	2.338	11	0
happening #optimistic	2.338	11	0
pretty damn	2.338	11	0
is :	2.338	11	0
fly by	2.338	11	0
me tomorrow	2.338	11	0
you heard	2.338	11	0
every game	2.338	11	0
still early	2.338	11	0
sometimes life	2.338	11	0
another great	2.338	11	0
just went	2.338	11	0
than no	2.338	11	0
everyone should	2.338	11	0
was better	2.338	11	0
start with	2.338	11	0
#newday #optimistic	2.338	11	0
gym ,	2.338	11	0
true love	2.338	11	0
packed my	2.338	11	0
its about	2.338	11	0
he said	2.338	11	0
us up	2.338	11	0
is taking	2.338	11	0
and had	2.338	11	0
that sucks	2.338	11	0
tomorrow goes	2.338	11	0
night for	2.338	11	0
of fun	2.338	11	0
the stuff	2.338	11	0
class today	2.338	11	0
open #optimism	2.338	11	0
the couch	2.338	11	0
just getting	2.338	11	0
be strong	2.338	11	0
haha :	2.338	11	0
league !	2.338	11	0
years #optimism	2.338	11	0
aim is	2.338	11	0
#optimistic #fb	2.338	11	0
next game	2.338	11	0
through tomorrow	2.338	11	0
few things	2.338	11	0
the shortest	2.338	11	0
out good	2.338	11	0
how great	2.338	11	0
better after	2.338	11	0
putting my	2.338	11	0
of goals	2.338	11	0
right person	2.338	11	0
im looking	2.338	11	0
me going	2.338	11	0
in class	2.338	11	0
#thinkpositive #optimistic	2.338	11	0
always come	2.338	11	0
anything is	2.338	11	0
#behappy #optimistic	2.338	11	0
it before	2.338	11	0
start #optimism	2.338	11	0
is supposed	2.338	11	0
everything #optimism	2.338	11	0
leave for	2.338	11	0
day tho	2.338	11	0
hair looks	2.338	11	0
the journey	2.338	11	0
first one	2.338	11	0
impossible to	2.338	11	0
the love	2.338	11	0
weeks left	2.338	11	0
of coffee	2.338	11	0
happy day	2.338	11	0
will fly	2.338	11	0
your car	2.338	11	0
through with	2.338	11	0
left until	2.338	11	0
it gives	2.338	11	0
night tonight	2.338	11	0
half term	2.338	11	0
could work	2.338	11	0
world #optimism	2.338	11	0
post -	2.338	11	0
kick off	2.338	11	0
situation #optimism	2.338	11	0
not on	2.338	11	0
beautiful and	2.338	11	0
#optimism #yay	2.338	11	0
chance you	2.338	11	0
my wallet	2.338	11	0
well with	2.338	11	0
of homework	2.338	11	0
heart ,	2.338	11	0
live for	2.338	11	0
sure why	2.338	11	0
month is	2.338	11	0
and at	2.338	11	0
#optimistic #icandothis	2.338	11	0
#optimism #life	2.338	11	0
great first	2.338	11	0
#optimistic #headup	2.338	11	0
amazing and	2.338	11	0
impossible ,	2.338	11	0
into this	2.338	11	0
track .	2.338	11	0
left and	2.338	11	0
has already	2.338	11	0
mate #optimistic	2.338	11	0
man u	2.338	11	0
through anything	2.338	11	0
gunna make	2.338	11	0
then maybe	2.338	11	0
going ,	2.338	11	0
settle for	2.338	11	0
worst thing	2.338	11	0
second chance	2.338	11	0
the silver	2.338	11	0
cleaned my	2.338	11	0
yourself that	2.338	11	0
it sure	2.338	11	0
so at	2.338	11	0
pass the	2.338	11	0
